🤖 AI Tools & Assistants,CATEGORY,SUBCATEGORY
SalesLoft - Sales development platform,🎯 CRM & Sales Tools,Sales & Outreach Tools
Apollo - Sales intelligence platform,🎯 CRM & Sales Tools,Sales & Outreach Tools
ZoomInfo - B2B contact database,🎯 CRM & Sales Tools,Sales & Outreach Tools
LinkedIn Sales Navigator - Professional networking for sales,🎯 CRM & Sales Tools,Sales & Outreach Tools
Calendly - Automated scheduling,🎯 CRM & Sales Tools,Sales & Outreach Tools
Acuity Scheduling - Advanced booking,🎯 CRM & Sales Tools,Sales & Outreach Tools
Chili Piper - Revenue scheduling,🎯 CRM & Sales Tools,Sales & Outreach Tools
Mixmax - Email productivity for sales,🎯 CRM & Sales Tools,Sales & Outreach Tools
Boomerang - Email scheduling and tracking,🎯 CRM & Sales Tools,Sales & Outreach Tools
,,
Email Marketing & Automation,,
Mailchimp - Small business email marketing,🎯 CRM & Sales Tools,Email Marketing & Automation
ConvertKit - Creator-focused email marketing,🎯 CRM & Sales Tools,Email Marketing & Automation
ActiveCampaign - Marketing automation,🎯 CRM & Sales Tools,Email Marketing & Automation
Klaviyo - Ecommerce email marketing,🎯 CRM & Sales Tools,Email Marketing & Automation
Campaign Monitor - Email design platform,🎯 CRM & Sales Tools,Email Marketing & Automation
Constant Contact - Small business email,🎯 CRM & Sales Tools,Email Marketing & Automation
GetResponse - All-in-one marketing,🎯 CRM & Sales Tools,Email Marketing & Automation
AWeber - Email marketing automation,🎯 CRM & Sales Tools,Email Marketing & Automation
Drip - Ecommerce marketing automation,🎯 CRM & Sales Tools,Email Marketing & Automation
Sendinblue (Brevo) - Multi-channel marketing,🎯 CRM & Sales Tools,Email Marketing & Automation
,,
📱 Marketing & Social Media,,
Social Media Management,,
Hootsuite - Multi-platform scheduling,📱 Marketing & Social Media,Social Media Management
Buffer - Simple social scheduling,📱 Marketing & Social Media,Social Media Management
Sprout Social - Enterprise social management,📱 Marketing & Social Media,Social Media Management
Later - Visual content scheduling,📱 Marketing & Social Media,Social Media Management
SocialBee - Content categorization,📱 Marketing & Social Media,Social Media Management
MeetEdgar - Content recycling,📱 Marketing & Social Media,Social Media Management
Agorapulse - Social media management,📱 Marketing & Social Media,Social Media Management
CoSchedule - Marketing calendar,📱 Marketing & Social Media,Social Media Management
Sendible - Agency social management,📱 Marketing & Social Media,Social Media Management
Loomly - Brand success platform,📱 Marketing & Social Media,Social Media Management
,,
Content Creation & Design,,
Canva - Drag-and-drop design,📱 Marketing & Social Media,Content Creation & Design
Adobe Creative Suite - Professional design tools,📱 Marketing & Social Media,Content Creation & Design
Figma - Web-based design collaboration,📱 Marketing & Social Media,Content Creation & Design
Sketch - Mac-based design tool,📱 Marketing & Social Media,Content Creation & Design
InDesign - Professional layout design,📱 Marketing & Social Media,Content Creation & Design
Photoshop - Image editing standard,📱 Marketing & Social Media,Content Creation & Design
Illustrator - Vector graphics,📱 Marketing & Social Media,Content Creation & Design
After Effects - Motion graphics,📱 Marketing & Social Media,Content Creation & Design
Premiere Pro - Video editing,📱 Marketing & Social Media,Content Creation & Design
Final Cut Pro - Mac video editing,📱 Marketing & Social Media,Content Creation & Design
,,
Analytics & Insights,,
Google Analytics - Website analytics standard,📱 Marketing & Social Media,Analytics & Insights
Facebook Analytics - Social media insights,📱 Marketing & Social Media,Analytics & Insights
Instagram Insights - Built-in Instagram analytics,📱 Marketing & Social Media,Analytics & Insights
Twitter Analytics - Tweet performance tracking,📱 Marketing & Social Media,Analytics & Insights
LinkedIn Analytics - Professional network insights,📱 Marketing & Social Media,Analytics & Insights
TikTok Analytics - Short-form video insights,📱 Marketing & Social Media,Analytics & Insights
YouTube Analytics - Video performance tracking,📱 Marketing & Social Media,Analytics & Insights
Pinterest Analytics - Visual content insights,📱 Marketing & Social Media,Analytics & Insights
Snapchat Insights - Snap ad analytics,📱 Marketing & Social Media,Analytics & Insights
Hotjar - User behavior analytics,📱 Marketing & Social Media,Analytics & Insights
,,
🎨 Design & Creative Tools,,
Graphic Design,,
Canva - Templates for everyone,🎨 Design & Creative Tools,Graphic Design
Adobe Creative Suite - Professional standard,🎨 Design & Creative Tools,Graphic Design
Figma - Collaborative design,🎨 Design & Creative Tools,Graphic Design
Sketch - Mac-based design,🎨 Design & Creative Tools,Graphic Design
Affinity Designer - Affordable alternative,🎨 Design & Creative Tools,Graphic Design
Gravit Designer - Browser-based design,🎨 Design & Creative Tools,Graphic Design
Vectr - Free vector graphics,🎨 Design & Creative Tools,Graphic Design
GIMP - Free image editing,🎨 Design & Creative Tools,Graphic Design
Pixlr - Online photo editor,🎨 Design & Creative Tools,Graphic Design
PicMonkey - Photo editing and design,🎨 Design & Creative Tools,Graphic Design
,,
Web Design & Development,,
Webflow - Visual web development,🎨 Design & Creative Tools,Web Design & Development
Squarespace - Website builder,🎨 Design & Creative Tools,Web Design & Development
Wix - Drag-and-drop websites,🎨 Design & Creative Tools,Web Design & Development
WordPress.com - Hosted WordPress,🎨 Design & Creative Tools,Web Design & Development
Ghost - Publishing-focused CMS,🎨 Design & Creative Tools,Web Design & Development
Framer - Interactive design,🎨 Design & Creative Tools,Web Design & Development
Bubble - No-code web app builder,🎨 Design & Creative Tools,Web Design & Development
Glide - No-code app builder,🎨 Design & Creative Tools,Web Design & Development
Adalo - Mobile app builder,🎨 Design & Creative Tools,Web Design & Development
Carrd - Simple one-page sites,🎨 Design & Creative Tools,Web Design & Development
,,
Video & Animation,,
Adobe After Effects - Motion graphics,🎨 Design & Creative Tools,Video & Animation
Adobe Premiere Pro - Video editing,🎨 Design & Creative Tools,Video & Animation
Final Cut Pro - Mac video editing,🎨 Design & Creative Tools,Video & Animation
DaVinci Resolve - Professional color grading,🎨 Design & Creative Tools,Video & Animation
Luma Fusion - Mobile video editing,🎨 Design & Creative Tools,Video & Animation
Animoto - Automated video creation,🎨 Design & Creative Tools,Video & Animation
Vyond - Animated video maker,🎨 Design & Creative Tools,Video & Animation
Powtoon - Animation presentation tool,🎨 Design & Creative Tools,Video & Animation
Lottie - Web animations,🎨 Design & Creative Tools,Video & Animation
Rive - Interactive animations,🎨 Design & Creative Tools,Video & Animation
,,
💻 Development & Technical Tools,,
Programming Languages,,
Frontend Languages,,
JavaScript - The web standard,💻 Development & Technical Tools,Frontend Languages
TypeScript - JavaScript with types,💻 Development & Technical Tools,Frontend Languages
HTML/CSS - Web markup and styling,💻 Development & Technical Tools,Frontend Languages
Dart - Google's Flutter language,💻 Development & Technical Tools,Frontend Languages
WebAssembly - High-performance web apps,💻 Development & Technical Tools,Frontend Languages
,,
Backend Languages,,
Python - Versatile and beginner-friendly,💻 Development & Technical Tools,Backend Languages
JavaScript/Node.js - Full-stack JavaScript,💻 Development & Technical Tools,Backend Languages
Java - Enterprise standard,💻 Development & Technical Tools,Backend Languages
C# - Microsoft ecosystem,💻 Development & Technical Tools,Backend Languages
Go - Google's efficiency language,💻 Development & Technical Tools,Backend Languages
Rust - Memory-safe systems programming,💻 Development & Technical Tools,Backend Languages
PHP - Web development staple,💻 Development & Technical Tools,Backend Languages
Ruby - Developer happiness focus,💻 Development & Technical Tools,Backend Languages
Scala - Functional JVM language,💻 Development & Technical Tools,Backend Languages
Kotlin - Modern JVM language,💻 Development & Technical Tools,Backend Languages
,,
Mobile Development:,,
Swift - iOS native development,💻 Development & Technical Tools,Mobile Development:
Objective-C - Legacy iOS development,💻 Development & Technical Tools,Mobile Development:
Java/Kotlin - Android development,💻 Development & Technical Tools,Mobile Development:
Dart/Flutter - Cross-platform mobile,💻 Development & Technical Tools,Mobile Development:
React Native - JavaScript mobile apps,💻 Development & Technical Tools,Mobile Development:
Xamarin - Microsoft cross-platform,💻 Development & Technical Tools,Mobile Development:
,,
Systems & Low-Level,,
C - System programming foundation,💻 Development & Technical Tools,Systems & Low-Level
C++ - High-performance applications,💻 Development & Technical Tools,Systems & Low-Level
Assembly - Hardware-level programming,💻 Development & Technical Tools,Systems & Low-Level
Zig - Modern systems language,💻 Development & Technical Tools,Systems & Low-Level
,,
Frontend Frameworks,,
React - Facebook's component library,💻 Development & Technical Tools,Frontend Frameworks
Vue.js - Progressive framework,💻 Development & Technical Tools,Frontend Frameworks
Angular - Google's full framework,💻 Development & Technical Tools,Frontend Frameworks
Svelte - Compile-time framework,💻 Development & Technical Tools,Frontend Frameworks
Next.js - React with server-side rendering,💻 Development & Technical Tools,Frontend Frameworks
Nuxt.js - Vue.js framework,💻 Development & Technical Tools,Frontend Frameworks
Gatsby - Static site generator,💻 Development & Technical Tools,Frontend Frameworks
Astro - Islands architecture,💻 Development & Technical Tools,Frontend Frameworks
,,
Backend Frameworks,,
Express.js - Node.js web framework,💻 Development & Technical Tools,Backend Frameworks
Django - Python web framework,💻 Development & Technical Tools,Backend Frameworks
Flask - Lightweight Python framework,💻 Development & Technical Tools,Backend Frameworks
Ruby on Rails - Convention over configuration,💻 Development & Technical Tools,Backend Frameworks
Spring Boot - Java enterprise framework,💻 Development & Technical Tools,Backend Frameworks
ASP.NET Core - Microsoft web framework,💻 Development & Technical Tools,Backend Frameworks
Laravel - PHP web framework,💻 Development & Technical Tools,Backend Frameworks
Gin - Go web framework,💻 Development & Technical Tools,Backend Frameworks
FastAPI - Modern Python API framework,💻 Development & Technical Tools,Backend Frameworks
,,
Mobile Frameworks,,
React Native - JavaScript mobile development,💻 Development & Technical Tools,Mobile Frameworks
Flutter - Google's UI toolkit,💻 Development & Technical Tools,Mobile Frameworks
Ionic - Hybrid mobile apps,💻 Development & Technical Tools,Mobile Frameworks
PhoneGap/Cordova - Web-based mobile apps,💻 Development & Technical Tools,Mobile Frameworks
NativeScript - Native mobile with web skills,💻 Development & Technical Tools,Mobile Frameworks
,,
Code Editors & IDEs,,
Visual Studio Code - Microsoft's free editor,💻 Development & Technical Tools,Code Editors & IDEs
"JetBrains Suite - Professional IDEs (IntelliJ, PyCharm, WebStorm)",💻 Development & Technical Tools,Code Editors & IDEs
Sublime Text - Fast text editor,💻 Development & Technical Tools,Code Editors & IDEs
Atom - GitHub's hackable editor,💻 Development & Technical Tools,Code Editors & IDEs
Vim/Neovim - Terminal text editors,💻 Development & Technical Tools,Code Editors & IDEs
Emacs - Extensible text editor,💻 Development & Technical Tools,Code Editors & IDEs
Brackets - Adobe's web editor,💻 Development & Technical Tools,Code Editors & IDEs
CodePen - Online code playground,💻 Development & Technical Tools,Code Editors & IDEs
JSFiddle - JavaScript testing,💻 Development & Technical Tools,Code Editors & IDEs
Repl.it - Online IDE,💻 Development & Technical Tools,Code Editors & IDEs
Xcode - Apple's development environment,💻 Development & Technical Tools,Code Editors & IDEs
Android Studio - Google's Android IDE,💻 Development & Technical Tools,Code Editors & IDEs
,,
Version Control & Collaboration,,
GitHub - Git repository hosting,💻 Development & Technical Tools,Version Control & Collaboration
GitLab - DevOps platform,💻 Development & Technical Tools,Version Control & Collaboration
Bitbucket - Atlassian's Git solution,💻 Development & Technical Tools,Version Control & Collaboration
Azure DevOps - Microsoft development,💻 Development & Technical Tools,Version Control & Collaboration
SourceForge - Open source hosting,💻 Development & Technical Tools,Version Control & Collaboration
CodeCommit - AWS Git service,💻 Development & Technical Tools,Version Control & Collaboration
Perforce - Enterprise version control,💻 Development & Technical Tools,Version Control & Collaboration
Subversion - Centralized version control,💻 Development & Technical Tools,Version Control & Collaboration
Mercurial - Distributed version control,💻 Development & Technical Tools,Version Control & Collaboration
Bazaar - Distributed version control,💻 Development & Technical Tools,Version Control & Collaboration
,,
Deployment & Hosting,,
Vercel - Frontend deployment,💻 Development & Technical Tools,Deployment & Hosting
Netlify - JAMstack hosting,💻 Development & Technical Tools,Deployment & Hosting
Heroku - Platform as a service,💻 Development & Technical Tools,Deployment & Hosting
AWS - Amazon Web Services,💻 Development & Technical Tools,Deployment & Hosting
Google Cloud - Google's cloud platform,💻 Development & Technical Tools,Deployment & Hosting
Microsoft Azure - Microsoft's cloud,💻 Development & Technical Tools,Deployment & Hosting
DigitalOcean - Simple cloud hosting,💻 Development & Technical Tools,Deployment & Hosting
Linode - Linux cloud hosting,💻 Development & Technical Tools,Deployment & Hosting
Vultr - High-performance cloud,💻 Development & Technical Tools,Deployment & Hosting
Cloudflare - CDN and security,💻 Development & Technical Tools,Deployment & Hosting
,,
💰 Finance & Accounting,,
Accounting Software,,
QuickBooks - Small business standard,💰 Finance & Accounting,Accounting Software
Xero - Cloud-based accounting,💰 Finance & Accounting,Accounting Software
FreshBooks - Freelancer-friendly,💰 Finance & Accounting,Accounting Software
Wave - Free small business accounting,💰 Finance & Accounting,Accounting Software
Sage - Enterprise accounting,💰 Finance & Accounting,Accounting Software
NetSuite - ERP solution,💰 Finance & Accounting,Accounting Software
Zoho Books - Part of Zoho suite,💰 Finance & Accounting,Accounting Software
MYOB - Australian/NZ accounting,💰 Finance & Accounting,Accounting Software
KashFlow - UK small business,💰 Finance & Accounting,Accounting Software
Bench - Bookkeeping service,💰 Finance & Accounting,Accounting Software
,,
Invoicing & Payments,,
Stripe - Online payment processing,💰 Finance & Accounting,Invoicing & Payments
PayPal - Digital payments,💰 Finance & Accounting,Invoicing & Payments
Square - Point of sale systems,💰 Finance & Accounting,Invoicing & Payments
Invoice Ninja - Open source invoicing,💰 Finance & Accounting,Invoicing & Payments
Zoho Invoice - Simple invoicing,💰 Finance & Accounting,Invoicing & Payments
PandaDoc - Document automation,💰 Finance & Accounting,Invoicing & Payments
HelloSign - Electronic signatures,💰 Finance & Accounting,Invoicing & Payments
DocuSign - Digital signature leader,💰 Finance & Accounting,Invoicing & Payments
Adobe Sign - PDF signature solution,💰 Finance & Accounting,Invoicing & Payments
SignNow - Business e-signature,💰 Finance & Accounting,Invoicing & Payments
,,
Expense Management,,
Expensify - Expense report automation,💰 Finance & Accounting,Expense Management
Concur - Enterprise expense management,💰 Finance & Accounting,Expense Management
Receipt Bank - Receipt processing,💰 Finance & Accounting,Expense Management
Shoeboxed - Receipt organization,💰 Finance & Accounting,Expense Management
ABUKAI - Photo receipt processing,💰 Finance & Accounting,Expense Management
Zoho Expense - Part of Zoho suite,💰 Finance & Accounting,Expense Management
Rydoo - European expense management,💰 Finance & Accounting,Expense Management
Chrome River - Expense management,💰 Finance & Accounting,Expense Management
Certify - Expense and invoice management,💰 Finance & Accounting,Expense Management
Fyle - Real-time expense reporting,💰 Finance & Accounting,Expense Management
,,
⏰ Time Tracking & Scheduling,,
Time Tracking,,
Toggl - Simple time tracking,⏰ Time Tracking & Scheduling,Time Tracking
RescueTime - Automatic activity tracking,⏰ Time Tracking & Scheduling,Time Tracking
Clockify - Free time tracking,⏰ Time Tracking & Scheduling,Time Tracking
Harvest - Time tracking with invoicing,⏰ Time Tracking & Scheduling,Time Tracking
Time Doctor - Team time tracking,⏰ Time Tracking & Scheduling,Time Tracking
DeskTime - Automatic time tracking,⏰ Time Tracking & Scheduling,Time Tracking
TimeCamp - Project time tracking,⏰ Time Tracking & Scheduling,Time Tracking
Everhour - Team time tracking,⏰ Time Tracking & Scheduling,Time Tracking
Hubstaff - Employee monitoring,⏰ Time Tracking & Scheduling,Time Tracking
Timing (Mac) - Automatic time tracking,⏰ Time Tracking & Scheduling,Time Tracking
,,
Calendar & Scheduling,,
Google Calendar - Free calendar service,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Outlook Calendar - Microsoft's calendar,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Apple Calendar - Built-in Mac/iOS calendar,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Calendly - Automated scheduling,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Acuity Scheduling - Advanced booking,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Schedule Once - Enterprise scheduling,⏰ Time Tracking & Scheduling,Calendar & Scheduling
When2meet - Group availability,⏰ Time Tracking & Scheduling,Calendar & Scheduling
Doodle - Poll-based scheduling,⏰ Time Tracking & Scheduling,Calendar & Scheduling
FindTime - Microsoft scheduling,⏰ Time Tracking & Scheduling,Calendar & Scheduling
x.ai - AI scheduling assistant,⏰ Time Tracking & Scheduling,Calendar & Scheduling
,,
Focus & Productivity,,
Forest - Gamified focus app,⏰ Time Tracking & Scheduling,Focus & Productivity
Freedom - Website and app blocker,⏰ Time Tracking & Scheduling,Focus & Productivity
Cold Turkey - Distraction blocker,⏰ Time Tracking & Scheduling,Focus & Productivity
StayFocusd - Chrome extension,⏰ Time Tracking & Scheduling,Focus & Productivity
Momentum - New tab page,⏰ Time Tracking & Scheduling,Focus & Productivity
Be Focused - Pomodoro timer,⏰ Time Tracking & Scheduling,Focus & Productivity
Focus Keeper - Time management,⏰ Time Tracking & Scheduling,Focus & Productivity
PomoDone - Pomodoro with task integration,⏰ Time Tracking & Scheduling,Focus & Productivity
Brain.fm - Focus music,⏰ Time Tracking & Scheduling,Focus & Productivity
Noisli - Background noise generator,⏰ Time Tracking & Scheduling,Focus & Productivity
,,
📝 Note-Taking & Knowledge Management,,
Digital Note-Taking,,
Notion - All-in-one workspace,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Obsidian - Linked note-taking,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Roam Research - Networked thought,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Logseq - Open-source knowledge graph,📝 Note-Taking & Knowledge Management,Digital Note-Taking
RemNote - Spaced repetition notes,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Craft - Block-based writing,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Bear (Mac/iOS) - Markdown notes,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Ulysses - Long-form writing,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Day One - Digital journaling,📝 Note-Taking & Knowledge Management,Digital Note-Taking
Journey - Cross-platform journaling,📝 Note-Taking & Knowledge Management,Digital Note-Taking
,,
Traditional Note Apps,,
Evernote - The original digital notebook,📝 Note-Taking & Knowledge Management,Traditional Note Apps
OneNote - Microsoft's note-taking,📝 Note-Taking & Knowledge Management,Traditional Note Apps
Apple Notes - Built-in iOS/Mac notes,📝 Note-Taking & Knowledge Management,Traditional Note Apps
Google Keep - Simple note-taking,📝 Note-Taking & Knowledge Management,Traditional Note Apps
